user_id,timestamp,activity_type,resource_accessed,location,device_info,risk_score,login_time,logout_time,session_duration,file_size,data_type,application_used,ip_address,user_agent,success_status
U001,2024-01-15 08:30:15,login,workstation_01,office_building_a,Windows_10_Pro,0.1,2024-01-15 08:30:15,2024-01-15 17:45:22,33127,0,login,Windows,192.168.1.100,Mozilla/5.0,success
U001,2024-01-15 09:15:30,file_access,financial_reports.xlsx,office_building_a,Windows_10_Pro,0.2,2024-01-15 08:30:15,2024-01-15 17:45:22,33127,2048576,financial,Excel,192.168.1.100,Mozilla/5.0,success
U001,2024-01-15 10:45:12,email_send,external_recipient@competitor.com,office_building_a,Windows_10_Pro,0.8,2024-01-15 08:30:15,2024-01-15 17:45:22,33127,512000,email,Outlook,192.168.1.100,Mozilla/5.0,success
U001,2024-01-15 11:20:45,usb_access,USB_DRIVE_001,office_building_a,Windows_10_Pro,0.9,2024-01-15 08:30:15,2024-01-15 17:45:22,33127,1048576,data_transfer,File_Explorer,192.168.1.100,Mozilla/5.0,success
U001,2024-01-15 14:30:20,cloud_upload,dropbox_upload,office_building_a,Windows_10_Pro,0.7,2024-01-15 08:30:15,2024-01-15 17:45:22,33127,5242880,documents,Cloud_App,192.168.1.100,Mozilla/5.0,success
U002,2024-01-15 08:45:10,login,workstation_02,office_building_b,MacOS_12.1,0.1,2024-01-15 08:45:10,2024-01-15 18:00:00,33290,0,login,MacOS,192.168.1.101,Safari/15.0,success
U002,2024-01-15 09:30:25,file_access,hr_database.csv,office_building_b,MacOS_12.1,0.3,2024-01-15 08:45:10,2024-01-15 18:00:00,33290,1024000,hr_data,Excel,192.168.1.101,Safari/15.0,success
U002,2024-01-15 12:15:40,printer_access,network_printer_01,office_building_b,MacOS_12.1,0.2,2024-01-15 08:45:10,2024-01-15 18:00:00,33290,256000,documents,Print_Service,192.168.1.101,Safari/15.0,success
U003,2024-01-15 09:00:05,login,workstation_03,remote_location,Ubuntu_20.04,0.1,2024-01-15 09:00:05,2024-01-15 16:30:15,27010,0,login,Linux,203.45.67.89,Chrome/96.0,success
U003,2024-01-15 10:30:15,file_access,source_code_repository,remote_location,Ubuntu_20.04,0.4,2024-01-15 09:00:05,2024-01-15 16:30:15,27010,5120000,source_code,Git,203.45.67.89,Chrome/96.0,success
U003,2024-01-15 11:45:30,git_push,external_repository,remote_location,Ubuntu_20.04,0.6,2024-01-15 09:00:05,2024-01-15 16:30:15,27010,1024000,source_code,Git,203.45.67.89,Chrome/96.0,success
U004,2024-01-15 08:20:00,login,workstation_04,office_building_a,Windows_11_Pro,0.1,2024-01-15 08:20:00,2024-01-15 17:30:00,33000,0,login,Windows,192.168.1.104,Edge/96.0,success
U004,2024-01-15 09:45:20,file_access,customer_database.db,office_building_a,Windows_11_Pro,0.5,2024-01-15 08:20:00,2024-01-15 17:30:00,33000,20480000,customer_data,Database_Client,192.168.1.104,Edge/96.0,success
